IDENTIFICADOR;DATA;DERIVATIVO;PARTICIPANTE;LONGCONTRACTS;LONG_;SHORTCONTRACTS;SHORT_;SALDO
04012010_US DOLLAR FUTURES_Financial Institutions;04/01/2010;US DOLLAR FUTURES;Financial Institutions;183939;33.54;329450;60.07;-145511
04012010_US DOLLAR FUTURES_Banks;04/01/2010;US DOLLAR FUTURES;Banks;147009;26.8;329180;60.02;-182171
04012010_US DOLLAR FUTURES_Brokers & Dealers;04/01/2010;US DOLLAR FUTURES;Brokers & Dealers;220;0.04;180;0.03;40
04012010_US DOLLAR FUTURES_Other;04/01/2010;US DOLLAR FUTURES;Other;36710;6.69;90;0.02;36620
04012010_US DOLLAR FUTURES_Institutional Investors;04/01/2010;US DOLLAR FUTURES;Institutional Investors;113230;20.65;93782;17.1;19448
04012010_US DOLLAR FUTURES_Domestic;04/01/2010;US DOLLAR FUTURES;Domestic;113230;20.65;93782;17.1;19448
04012010_US DOLLAR FUTURES_Nonresident Investors;04/01/2010;US DOLLAR FUTURES;Nonresident Investors;213597;38.94;107304;19.56;106293
04012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;04/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;213597;38.94;107304;19.56;106293
04012010_US DOLLAR FUTURES_Corporations;04/01/2010;US DOLLAR FUTURES;Corporations;36900;6.73;17515;3.19;19385
04012010_US DOLLAR FUTURES_Individuals;04/01/2010;US DOLLAR FUTURES;Individuals;795;0.14;410;0.07;385
04012010_US DOLLAR FUTURES_Total;04/01/2010;US DOLLAR FUTURES;Total;548461;100.0;548461;100.0;0
05012010_US DOLLAR FUTURES_Financial Institutions;05/01/2010;US DOLLAR FUTURES;Financial Institutions;190979;34.3;323520;58.1;-132541
05012010_US DOLLAR FUTURES_Banks;05/01/2010;US DOLLAR FUTURES;Banks;154064;27.67;323275;58.06;-169211
05012010_US DOLLAR FUTURES_Brokers & Dealers;05/01/2010;US DOLLAR FUTURES;Brokers & Dealers;205;0.04;155;0.03;50
05012010_US DOLLAR FUTURES_Other;05/01/2010;US DOLLAR FUTURES;Other;36710;6.59;90;0.02;36620
05012010_US DOLLAR FUTURES_Institutional Investors;05/01/2010;US DOLLAR FUTURES;Institutional Investors;111704;20.06;95470;17.15;16234
05012010_US DOLLAR FUTURES_Domestic;05/01/2010;US DOLLAR FUTURES;Domestic;111704;20.06;95470;17.15;16234
05012010_US DOLLAR FUTURES_Nonresident Investors;05/01/2010;US DOLLAR FUTURES;Nonresident Investors;216996;38.97;120149;21.58;96847
05012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;05/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;216996;38.97;120149;21.58;96847
05012010_US DOLLAR FUTURES_Corporations;05/01/2010;US DOLLAR FUTURES;Corporations;36360;6.53;17265;3.1;19095
05012010_US DOLLAR FUTURES_Individuals;05/01/2010;US DOLLAR FUTURES;Individuals;755;0.14;390;0.07;365
05012010_US DOLLAR FUTURES_Total;05/01/2010;US DOLLAR FUTURES;Total;556794;100.0;556794;100.0;0
06012010_US DOLLAR FUTURES_Financial Institutions;06/01/2010;US DOLLAR FUTURES;Financial Institutions;199744;34.0;323355;55.04;-123611
06012010_US DOLLAR FUTURES_Banks;06/01/2010;US DOLLAR FUTURES;Banks;162799;27.71;323135;55.0;-160336
06012010_US DOLLAR FUTURES_Brokers & Dealers;06/01/2010;US DOLLAR FUTURES;Brokers & Dealers;235;0.04;130;0.02;105
06012010_US DOLLAR FUTURES_Other;06/01/2010;US DOLLAR FUTURES;Other;36710;6.25;90;0.02;36620
06012010_US DOLLAR FUTURES_Institutional Investors;06/01/2010;US DOLLAR FUTURES;Institutional Investors;123135;20.96;110760;18.85;12375
06012010_US DOLLAR FUTURES_Domestic;06/01/2010;US DOLLAR FUTURES;Domestic;123135;20.96;110760;18.85;12375
06012010_US DOLLAR FUTURES_Nonresident Investors;06/01/2010;US DOLLAR FUTURES;Nonresident Investors;227728;38.76;136092;23.16;91636
