IDENTIFICADOR;DATA;DERIVATIVO;PARTICIPANTE;LONGCONTRACTS;LONG_;SHORTCONTRACTS;SHORT_;SALDO
04012010_IBOVESPA FUTURES_Financial Institutions;04/01/2010;IBOVESPA FUTURES;Financial Institutions;9711;8.57;9535;8.42;176
04012010_IBOVESPA FUTURES_Banks;04/01/2010;IBOVESPA FUTURES;Banks;5610;4.95;8575;7.57;-2965
04012010_IBOVESPA FUTURES_Brokers & Dealers;04/01/2010;IBOVESPA FUTURES;Brokers & Dealers;46;0.04;860;0.76;-814
04012010_IBOVESPA FUTURES_Other;04/01/2010;IBOVESPA FUTURES;Other;4055;3.58;100;0.09;3955
04012010_IBOVESPA FUTURES_Institutional Investors;04/01/2010;IBOVESPA FUTURES;Institutional Investors;29800;26.3;63310;55.88;-33510
04012010_IBOVESPA FUTURES_Domestic;04/01/2010;IBOVESPA FUTURES;Domestic;29800;26.3;63310;55.88;-33510
04012010_IBOVESPA FUTURES_Nonresident Investors;04/01/2010;IBOVESPA FUTURES;Nonresident Investors;72897;64.34;36909;32.58;35988
04012010_IBOVESPA FUTURES_Nonresident investors - RES.2689;04/01/2010;IBOVESPA FUTURES;Nonresident investors - RES.2689;72897;64.34;36909;32.58;35988
04012010_IBOVESPA FUTURES_Corporations;04/01/2010;IBOVESPA FUTURES;Corporations;125;0.11;1125;0.99;-1000
04012010_IBOVESPA FUTURES_Individuals;04/01/2010;IBOVESPA FUTURES;Individuals;766;0.68;2420;2.14;-1654
04012010_IBOVESPA FUTURES_Total;04/01/2010;IBOVESPA FUTURES;Total;113299;100.0;113299;100.0;0
05012010_IBOVESPA FUTURES_Financial Institutions;05/01/2010;IBOVESPA FUTURES;Financial Institutions;10115;8.64;10932;9.33;-817
05012010_IBOVESPA FUTURES_Banks;05/01/2010;IBOVESPA FUTURES;Banks;6125;5.23;9850;8.41;-3725
05012010_IBOVESPA FUTURES_Brokers & Dealers;05/01/2010;IBOVESPA FUTURES;Brokers & Dealers;15;0.01;982;0.84;-967
05012010_IBOVESPA FUTURES_Other;05/01/2010;IBOVESPA FUTURES;Other;3975;3.39;100;0.09;3875
05012010_IBOVESPA FUTURES_Institutional Investors;05/01/2010;IBOVESPA FUTURES;Institutional Investors;29040;24.79;65429;55.86;-36389
05012010_IBOVESPA FUTURES_Domestic;05/01/2010;IBOVESPA FUTURES;Domestic;29040;24.79;65429;55.86;-36389
05012010_IBOVESPA FUTURES_Nonresident Investors;05/01/2010;IBOVESPA FUTURES;Nonresident Investors;77004;65.75;36874;31.48;40130
05012010_IBOVESPA FUTURES_Nonresident investors - RES.2689;05/01/2010;IBOVESPA FUTURES;Nonresident investors - RES.2689;77004;65.75;36874;31.48;40130
05012010_IBOVESPA FUTURES_Corporations;05/01/2010;IBOVESPA FUTURES;Corporations;260;0.22;1065;0.91;-805
05012010_IBOVESPA FUTURES_Individuals;05/01/2010;IBOVESPA FUTURES;Individuals;706;0.6;2825;2.41;-2119
05012010_IBOVESPA FUTURES_Total;05/01/2010;IBOVESPA FUTURES;Total;117125;100.0;117125;100.0;0
06012010_IBOVESPA FUTURES_Financial Institutions;06/01/2010;IBOVESPA FUTURES;Financial Institutions;10420;8.7;12222;10.21;-1802
06012010_IBOVESPA FUTURES_Banks;06/01/2010;IBOVESPA FUTURES;Banks;6430;5.37;11010;9.2;-4580
06012010_IBOVESPA FUTURES_Brokers & Dealers;06/01/2010;IBOVESPA FUTURES;Brokers & Dealers;65;0.05;1112;0.93;-1047
06012010_IBOVESPA FUTURES_Other;06/01/2010;IBOVESPA FUTURES;Other;3925;3.28;100;0.08;3825
06012010_IBOVESPA FUTURES_Institutional Investors;06/01/2010;IBOVESPA FUTURES;Institutional Investors;27979;23.37;68217;56.98;-40238
06012010_IBOVESPA FUTURES_Domestic;06/01/2010;IBOVESPA FUTURES;Domestic;27979;23.37;68217;56.98;-40238
06012010_IBOVESPA FUTURES_Nonresident Investors;06/01/2010;IBOVESPA FUTURES;Nonresident Investors;80472;67.22;35358;29.53;45114
06012010_IBOVESPA FUTURES_Nonresident investors - RES.2689;06/01/2010;IBOVESPA FUTURES;Nonresident investors - RES.2689;80472;67.22;35358;29.53;45114
06012010_IBOVESPA FUTURES_Corporations;06/01/2010;IBOVESPA FUTURES;Corporations;110;0.09;1080;0.9;-970
06012010_IBOVESPA FUTURES_Individuals;06/01/2010;IBOVESPA FUTURES;Individuals;741;0.62;2845;2.38;-2104
06012010_IBOVESPA FUTURES_Total;06/01/2010;IBOVESPA FUTURES;Total;119722;100.0;119722;100.0;0
07012010_IBOVESPA FUTURES_Financial Institutions;07/01/2010;IBOVESPA FUTURES;Financial Institutions;10151;8.48;12827;10.72;-2676
07012010_IBOVESPA FUTURES_Banks;07/01/2010;IBOVESPA FUTURES;Banks;6075;5.08;11690;9.77;-5615
07012010_IBOVESPA FUTURES_Brokers & Dealers;07/01/2010;IBOVESPA FUTURES;Brokers & Dealers;106;0.09;1087;0.91;-981
07012010_IBOVESPA FUTURES_Other;07/01/2010;IBOVESPA FUTURES;Other;3970;3.32;50;0.04;3920
07012010_IBOVESPA FUTURES_Institutional Investors;07/01/2010;IBOVESPA FUTURES;Institutional Investors;27516;22.99;67781;56.64;-40265
07012010_IBOVESPA FUTURES_Domestic;07/01/2010;IBOVESPA FUTURES;Domestic;27516;22.99;67781;56.64;-40265
07012010_IBOVESPA FUTURES_Nonresident Investors;07/01/2010;IBOVESPA FUTURES;Nonresident Investors;80853;67.56;35706;29.84;45147
07012010_IBOVESPA FUTURES_Nonresident investors - RES.2689;07/01/2010;IBOVESPA FUTURES;Nonresident investors - RES.2689;80853;67.56;35706;29.84;45147
07012010_IBOVESPA FUTURES_Corporations;07/01/2010;IBOVESPA FUTURES;Corporations;188;0.16;1015;0.85;-827
07012010_IBOVESPA FUTURES_Individuals;07/01/2010;IBOVESPA FUTURES;Individuals;961;0.8;2340;1.96;-1379
