DATA;PARTICIPANTE;SALDO;ACUMULADO
04/01/2010;Financial Institutions;844;844
04/01/2010;Banks;15;15
04/01/2010;Brokers & Dealers;829;829
04/01/2010;Institutional Investors;35;35
04/01/2010;Domestic;35;35
04/01/2010;Nonresident Investors;1993;1993
04/01/2010;Nonresident investors - RES.2689;1993;1993
04/01/2010;Corporations;-897;-897
04/01/2010;Individuals;-1975;-1975
04/01/2010;Total;0;0
05/01/2010;Financial Institutions;874;1718
05/01/2010;Banks;5;20
05/01/2010;Brokers & Dealers;869;1698
05/01/2010;Institutional Investors;446;481
05/01/2010;Domestic;446;481
05/01/2010;Nonresident Investors;1260;3253
05/01/2010;Nonresident investors - RES.2689;1260;3253
05/01/2010;Corporations;-661;-1558
05/01/2010;Individuals;-1919;-3894
05/01/2010;Total;0;0
06/01/2010;Financial Institutions;904;2622
06/01/2010;Brokers & Dealers;904;2602
06/01/2010;Institutional Investors;1171;1652
06/01/2010;Domestic;1171;1652
06/01/2010;Nonresident Investors;659;3912
06/01/2010;Nonresident investors - RES.2689;659;3912
06/01/2010;Corporations;-837;-2395
06/01/2010;Individuals;-1897;-5791
06/01/2010;Total;0;0
07/01/2010;Financial Institutions;814;3436
07/01/2010;Banks;15;35
07/01/2010;Brokers & Dealers;799;3401
07/01/2010;Institutional Investors;1234;2886
07/01/2010;Domestic;1234;2886
07/01/2010;Nonresident Investors;344;4256
07/01/2010;Nonresident investors - RES.2689;344;4256
07/01/2010;Corporations;-711;-3106
07/01/2010;Individuals;-1681;-7472
07/01/2010;Total;0;0
08/01/2010;Financial Institutions;854;4290
08/01/2010;Banks;25;60
08/01/2010;Brokers & Dealers;829;4230
08/01/2010;Institutional Investors;-623;2263
08/01/2010;Domestic;-623;2263
08/01/2010;Nonresident Investors;1819;6075
08/01/2010;Nonresident investors - RES.2689;1819;6075
08/01/2010;Corporations;-696;-3802
08/01/2010;Individuals;-1354;-8826
08/01/2010;Total;0;0
11/01/2010;Financial Institutions;919;5209
11/01/2010;Banks;40;100
11/01/2010;Brokers & Dealers;879;5109
11/01/2010;Institutional Investors;-965;1298
11/01/2010;Domestic;-965;1298
11/01/2010;Nonresident Investors;903;6978
11/01/2010;Nonresident investors - RES.2689;903;6978
11/01/2010;Corporations;-368;-4170
11/01/2010;Individuals;-489;-9315
11/01/2010;Total;0;0
12/01/2010;Financial Institutions;856;6065
12/01/2010;Banks;-35;65
